Time,Type,Trial,L Dia [mm],L Area [mm],R Dia [mm],R Area [mm],L POR X [px],L POR Y [px],R POR X [px],R POR Y [px],Trigger
554600413,SMP,1,4.66,4.66,4.84,4.66,92.45,656.1,83.21,652.56,0
554602414,SMP,1,4.48,4.84,4.66,4.84,99.64,658.81,81.2,657.53,0
554604411,SMP,1,4.48,4.66,4.84,4.84,95.72,654.74,76.19,651.52,0
554606412,SMP,1,4.48,4.66,4.66,4.66,99.27,653.4,79.33,651.9,0
554608400,SMP,1,4.48,4.84,4.84,4.66,94.64,651.04,85.27,652.98,0
554610394,SMP,1,4.66,4.66,4.66,4.66,93.57,653.34,78.54,653.88,0
554612391,SMP,1,4.66,4.84,4.84,4.66,92.39,653.44,80.16,658.21,0
554614391,SMP,1,4.48,4.84,4.66,4.66,92.41,664.32,83.6,663.05,0
554616429,SMP,1,4.48,4.84,4.66,4.66,89.08,658.78,87.82,657.28,0
554618412,SMP,1,4.48,4.84,4.84,4.66,93.73,658.19,84.49,668.57,0
554620422,SMP,1,4.66,4.66,4.66,4.84,90.17,655.6,86.33,653.9,0
554622422,SMP,1,4.48,4.84,4.66,4.84,96.39,666.22,78.02,655.16,0
554624421,SMP,1,4.66,4.84,4.66,4.84,86.03,648.14,83.36,664.35,0
554626424,SMP,1,4.48,4.66,4.84,4.48,94.81,654.43,80.35,653.59,0
554628431,SMP,1,4.48,4.84,4.84,4.84,93.31,655.14,87.91,660.05,0
554630423,SMP,1,4.3,4.66,4.66,4.66,87.4,649.76,84.84,658.34,0
554632422,SMP,1,4.48,4.66,4.66,4.84,88.35,653.66,86.8,660.85,0
554634423,SMP,1,4.66,4.84,4.84,4.48,96.38,666.73,81.44,665.14,0
554636422,SMP,1,4.48,4.66,4.66,4.66,99.59,652.03,84.05,656.37,0
554638423,SMP,1,4.48,4.66,4.66,4.66,89.65,655.54,87.14,663.27,0
554640398,SMP,1,4.48,4.84,4.66,4.66,94.76,653.69,84.1,659.52,0
554642426,SMP,1,4.48,4.66,4.66,4.66,86.43,652.69,84.91,662.62,0
554644421,SMP,1,4.66,4.84,4.66,4.66,86.91,660.53,81.56,662.3,0
554646424,SMP,1,4.48,4.66,4.66,4.84,90.13,656.56,81.91,653.16,0
554648425,SMP,1,4.48,4.84,4.66,4.66,99.15,644.16,82.71,662.17,0
554650421,SMP,1,4.48,4.84,4.66,4.84,95.46,655.86,82.43,650.25,0
554652420,SMP,1,4.48,4.66,4.66,4.66,99.59,651.03,82.37,655.7,0
554654421,SMP,1,4.48,4.84,4.66,4.84,96.48,651.89,78.3,653.25,0
554656424,SMP,1,4.48,4.84,4.84,4.66,94.8,658.78,84.21,659.34,0
554658401,SMP,1,4.48,4.84,4.66,4.84,98.63,656.07,79.76,654.91,0
554660430,SMP,1,4.48,5.01,4.66,4.84,100.48,660.96,85.83,656.68,0
554662422,SMP,1,4.48,5.01,4.84,4.66,104.77,650.06,85.26,649.99,0
554664424,SMP,1,4.48,4.84,4.66,4.84,97.09,665.43,83.01,654.38,0
554666433,SMP,1,4.66,4.66,4.84,4.84,101.86,653.78,77.11,642.63,0
554668487,SMP,1,4.48,4.84,4.84,4.84,93.97,659.18,78.88,656.44,0
554670434,SMP,1,4.48,4.84,4.66,4.84,102.19,669.64,75.21,649.69,0
554672451,SMP,1,4.48,4.84,4.66,4.66,105.3,658.53,82.15,657.55,0
554674431,SMP,1,4.48,4.84,4.84,4.66,102.76,663.33,84.1,653.88,0
554676433,SMP,1,4.48,4.84,4.66,4.66,98.47,656.39,86.29,653.95,103
554678434,SMP,1,4.48,5.01,4.66,4.84,96.09,660.78,80.6,656.9,103
554680435,SMP,1,4.48,5.01,4.84,4.66,97.69,651.7,77.39,650.39,103
554682436,SMP,1,4.66,5.01,4.84,4.66,105.45,655.04,81.18,653.15,0
554684433,SMP,1,4.48,4.66,4.66,4.66,95.91,655.01,84.9,654.19,0
554686434,SMP,1,4.48,4.84,4.84,4.66,98.64,648.2,84.9,653.85,0
554688432,SMP,1,4.48,4.84,4.84,4.66,98.52,647.01,87.53,654.38,0
554690431,SMP,1,4.48,4.84,4.66,4.66,102.2,653.1,80.07,651.7,0
554692430,SMP,1,4.48,4.66,4.66,4.84,110.02,651.18,82.85,648.65,0
554694430,SMP,1,4.66,4.66,4.84,4.84,107.19,652.33,75.31,644.41,0
554696434,SMP,1,4.48,5.01,4.84,4.66,106.67,648.41,70.47,650.68,0
554698435,SMP,1,4.48,4.84,4.84,4.48,109.34,656.58,78.62,640.67,0
554700432,SMP,1,4.48,4.66,4.84,4.84,93.56,650.44,75.34,648.96,0
554702431,SMP,1,4.66,4.84,4.84,4.48,96.8,656.7,78.68,649.26,0
554704432,SMP,1,4.48,4.84,4.66,4.66,103.25,652.18,67.7,653.66,0
554706437,SMP,1,4.48,4.84,4.66,4.84,98.81,649.13,67.21,647.15,0
554708430,SMP,1,4.66,4.66,4.66,4.66,103.82,654.15,72.86,650.72,0
